,コード,銘柄名,規模区分
390,8306,三菱ＵＦＪフィナンシャル・グループ,TOPIX Core30
391,8308,りそなホールディングス,TOPIX Large70
392,8309,三井住友トラスト・ホールディングス,TOPIX Large70
393,8316,三井住友フィナンシャルグループ,TOPIX Core30
394,8331,千葉銀行,TOPIX Mid400
395,8334,群馬銀行,TOPIX Mid400
396,8354,ふくおかフィナンシャルグループ,TOPIX Mid400
397,8359,八十二銀行,TOPIX Mid400
398,8369,京都銀行,TOPIX Mid400
399,8377,ほくほくフィナンシャルグループ,TOPIX Mid400
400,8410,セブン銀行,TOPIX Mid400
401,8411,みずほフィナンシャルグループ,TOPIX Core30
402,8418,山口フィナンシャルグループ,TOPIX Mid400
403,8439,東京センチュリー,TOPIX Mid400
404,8473,ＳＢＩホールディングス,TOPIX Mid400
405,8570,イオンフィナンシャルサービス,TOPIX Mid400
406,8572,アコム,TOPIX Mid400
407,8591,オリックス,TOPIX Large70
408,8593,三菱ＨＣキャピタル,TOPIX Mid400
409,8595,ジャフコ　グループ,TOPIX Mid400
410,8601,大和証券グループ本社,TOPIX Mid400
411,8604,野村ホールディングス,TOPIX Large70
412,8630,ＳＯＭＰＯホールディングス,TOPIX Large70
413,8697,日本取引所グループ,TOPIX Large70
414,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,TOPIX Large70
415,8750,第一生命ホールディングス,TOPIX Large70
416,8766,東京海上ホールディングス,TOPIX Core30
417,8795,Ｔ＆Ｄホールディングス,TOPIX Mid400
418,8801,三井不動産,TOPIX Large70
419,8802,三菱地所,TOPIX Large70
420,8804,東京建物,TOPIX Mid400
421,8830,住友不動産,TOPIX Large70
422,8876,リログループ,TOPIX Mid400
423,8905,イオンモール,TOPIX Mid400
424,9001,東武鉄道,TOPIX Mid400
425,9003,相鉄ホールディングス,TOPIX Mid400
426,9005,東急,TOPIX Mid400
427,9006,京浜急行電鉄,TOPIX Mid400
428,9007,小田急電鉄,TOPIX Mid400
429,9008,京王電鉄,TOPIX Mid400
430,9009,京成電鉄,TOPIX Mid400
431,9020,東日本旅客鉄道,TOPIX Large70
432,9021,西日本旅客鉄道,TOPIX Large70
433,9022,東海旅客鉄道,TOPIX Large70
434,9024,西武ホールディングス,TOPIX Mid400
435,9031,西日本鉄道,TOPIX Mid400
436,9041,近鉄グループホールディングス,TOPIX Mid400
437,9042,阪急阪神ホールディングス,TOPIX Mid400
438,9044,南海電気鉄道,TOPIX Mid400
439,9045,京阪ホールディングス,TOPIX Mid400
440,9048,名古屋鉄道,TOPIX Mid400
441,9064,ヤマトホールディングス,TOPIX Mid400
442,9065,山九,TOPIX Mid400
443,9072,ニッコンホールディングス,TOPIX Mid400
444,9076,セイノーホールディングス,TOPIX Mid400
445,9101,日本郵船,TOPIX Large70
446,9104,商船三井,TOPIX Mid400
447,9107,川崎汽船,TOPIX Mid400
448,9142,九州旅客鉄道,TOPIX Mid400
449,9143,ＳＧホールディングス,TOPIX Mid400
